atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 20.01, 19.12, 19.64, Failure: Sturm sequence, 2.76, Failure: Sturm sequence, 2.75, Failure: Sturm sequence, 2.75,,
log__1dot0003354626279024SEPsp2981dot9579870417288_,  1.5977576286547521, 1.5977576286547521, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__1dot3688132250546616SEPsp2dot859140914229523_,  7.660671518854567e-4, 7.660671518854567e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
log__32dot0SEPsp64dot0_,  5.373908785705356e-4, 5.373908785705356e-4, 0, 0, 0, ERR, 0, ERR, 0, ERR, 0,,
sin__0dot01SEPsp0dot75_,  3.62682368311166e-5, 3.62682368311166e-5, 16.99, 16.79, 17.88, Valid error, 12.97, Valid error, 12.95, Valid error, 12.94,,
sin__0dot01SEPsp1dot5_,  1.257875274015972e-3, 1.257875274015972e-3, 16.97, 18.67, 16.73, Valid error, 12.98, Valid error, 12.95, Valid error, 12.95,,
sin__0dot01SEPsp1dot6_,  1.6557153236745387e-3, 1.6557153236745387e-3, 18.72, 17.20, 18.48, Valid error, 13.23, Valid error, 13.22, Valid error, 13.21,,
sin__0dot025SEPsp1dot525_,  .00131064938422452, .00131064938422452, 18.84, 18.36, 18.29, Valid error, 13.14, Valid error, 13.10, Valid error, 13.11,,
sin__0dot02SEPsp3dot0_,  2.3307453886244358e-2, 2.3307453886244358e-2, 17.89, 17.60, 17.51, Valid error, 13.87, Valid error, 13.85, Valid error, 13.84,,
sin__0dot03SEPsp1dot5_,  1.2098412739782402e-3, 1.2098412739782402e-3, 16.76, 17.62, 17.47, Valid error, 13.25, Valid error, 13.22, Valid error, 13.23,,
sin__0dot0SEPsp0dot4_,  1.6686103667266718e-6, 1.6686103667266718e-6, 18.34, 17.66, 18.51, Valid error, 11.71, Valid error, 11.69, Valid error, 11.69,,
sin__0dot0SEPsp1dot5_,  .00128225510810895, .00128225510810895, 17.82, 18.61, 17.65, Valid error, 11.84, Valid error, 11.81, Valid error, 11.81,,
sin__0dot0SEPsp3dot14_,  2.8366286438609407e-2, 2.8366286438609407e-2, 19.24, 19.18, 19.04, Valid error, 12.86, Valid error, 12.80, Valid error, 12.81,,
sin__0dot0SEPsp6dot28318530718_,  .10684834563421393, .10684834563421393, 23.96, 22.37, 23.02, Invalid zero IV:Bounding error too large, 12.06, Invalid zero IV:Bounding error too large, 12.03, Invalid zero IV:Bounding error too large, 12.04,,
sin__0dot0SEPsp7dot0_,  .23680483084435106, .23680483084435106, 17.63, 18.65, 18.30, Invalid zero IV:Bounding error too large, 12.19, Invalid zero IV:Bounding error too large, 12.17, Invalid zero IV:Bounding error too large, 12.16,,
sin__0dot5SEPsp1dot0_,  1.383615402751174e-5, 1.383615402751174e-5, 17.69, 17.57, 17.58, Valid error, 12.95, Valid error, 12.94, Valid error, 12.95,,
sin__17dot0SEPsp18dot0_,  3.1369982241434606e-4, 3.1369982241434606e-4, 16.78, 17.56, 17.59, Invalid zero IV:Bounding error too large, 11.79, Invalid zero IV:Bounding error too large, 11.77, Invalid zero IV:Bounding error too large, 11.75,,
sin__17dot0SEPsp21dot0_,  .01971745835660949, .01971745835660949, 17.10, 17.72, 17.25, Invalid zero IV:Bounding error too large, 11.58, Invalid zero IV:Bounding error too large, 11.57, Invalid zero IV:Bounding error too large, 11.57,,
sin__1dot0SEPsp3dot0_,  4.928389857007877e-3, 4.928389857007877e-3, 17.53, 18.64, 17.40, Valid error, 13.24, Valid error, 13.22, Valid error, 13.21,,
sin__1dot0SEPsp3dot1415_,  6.167549592814902e-3, 6.167549592814902e-3, 19.14, 18.32, 18.78, Valid error, 13.44, Valid error, 13.40, Valid error, 13.41,,
sin__2dot0SEPsp4dot0_,  1.7282421095175477e-3, 1.7282421095175477e-3, 18.32, 18.10, 17.55, Valid error, 13.22, Valid error, 13.19, Valid error, 13.20,,
sin__3dot0SEPsp5dot0_,  4.331532124223924e-3, 4.331532124223924e-3, 16.93, 18.23, 17.60, Valid error, 12.63, Valid error, 12.62, Valid error, 12.63,,
sin__NEG10dot0SEPsp10dot0_,  1.000000021694719, 1.000000021694719, 17.12, 16.96, 16.99, Invalid zero IV:Bounding error too large, 18.33, Invalid zero IV:Bounding error too large, 18.31, Invalid zero IV:Bounding error too large, 18.31,,
