atan__NEG1dot0ENEG8SEPsp1dot0ENEG8_,  4.8828125e-12, 4.8828125e-12, 23.79, 22.47, 23.46, Valid error, 40.72, Valid error, 40.71, Valid error, 40.69,,
sin__17dot0SEPsp21dot0_,  3.8777742736819487, 3.8777742736819487, 19.06, 18.63, 18.21, Invalid zero IV:Bounding error too large, 311.88, Invalid zero IV:Bounding error too large, 335.19, Invalid zero IV:Bounding error too large, 331.70,,
sin__1dot0SEPsp3dot0_,  3.8184063150065925e-5, 3.8184063150065925e-5, 18.64, 18.54, 18.66, Valid error, 331.61, Valid error, 331.82, Valid error, 333.03,,
sin__1dot0SEPsp3dot1415_,  5.527138023438975e-5, 5.527138023438975e-5, 21.17, 21.57, 20.95, Valid error, 322.48, Valid error, 323.35, Valid error, 322.45,,
sin__2dot0SEPsp4dot0_,  7.292212781552006e-6, 7.292212781552006e-6, 20.17, 19.02, 19.83, Valid error, 354.20, Valid error, 355.13, Valid error, 354.54,,
sin__3dot0SEPsp5dot0_,  3.194730647001703e-5, 3.194730647001703e-5, 18.97, 18.43, 18.97, Valid error, 338.95, Valid error, 332.52, Valid error, 330.22,,
sin__NEG10dot0SEPsp10dot0_,  .986211985285614, .986211985285614, 19.05, 18.17, 18.45, Invalid zero IV:Bounding error too large, 374.34, Invalid zero IV:Bounding error too large, 374.13, Invalid zero IV:Bounding error too large, 372.48,,
sin__NEG1dot57079632679SEPsp1dot57079632679_,  6.779457115287385e-5, 6.779457115287385e-5, 29.76, 30.52, 29.45, Valid error, 388.08, Valid error, 389.87, Valid error, 382.02,,
sin__NEG1dot570796SEPsp1dot570796_,  6.77944746908454e-5, 6.77944746908454e-5, 22.23, 22.82, 23.70, Valid error, 368.66, Valid error, 368.25, Valid error, 368.47,,
sin__NEG1dot57SEPsp1dot57_,  6.755985597378151e-5, 6.755985597378151e-5, 20.96, 20.58, 20.50, Valid error, 370.63, Valid error, 370.74, Valid error, 370.55,,
sin__NEG20dot0SEPspNEG18dot0_,  2.0748749480833286, 2.0748749480833286, 18.55, 16.93, 17.02, Invalid zero IV:Bounding error too large, 305.91, Invalid zero IV:Bounding error too large, 305.84, Invalid zero IV:Bounding error too large, 306.48,,
